        Frequency / GHz                S1,1/abs,dB
                 3.47543                      -14.981613
               3.4756401                      -15.034404
               3.4758501                      -15.087549
               3.4760599                      -15.141048
                 3.47627                       -15.19491
                 3.47648                      -15.249137
               3.4766901                      -15.303733
               3.4769001                      -15.358704
               3.4771099                      -15.414053
                 3.47732                      -15.469786
                 3.47753                      -15.525908
                 3.47774                      -15.582423
               3.4779501                      -15.639336
               3.4781599                      -15.696651
                 3.47837                      -15.754377
                 3.47858                      -15.812515
                 3.47879                      -15.871073
               3.4790001                      -15.930055
               3.4792099                      -15.989469
               3.4794199                      -16.049318
                 3.47963                      -16.109608
                 3.47984                      -16.170347
               3.4800501                      -16.231541
               3.4802599                      -16.293194
               3.4804699                      -16.355312
                 3.48068                      -16.417906
                 3.48089                      -16.480977
               3.4811001                      -16.544536
               3.4813099                      -16.608587
               3.4815199                      -16.673139
                 3.48173                      -16.738198
                 3.48194                      -16.803772
               3.4821501                      -16.869868
               3.4823599                      -16.936493
               3.4825699                      -17.003657
                 3.48278                      -17.071367
                 3.48299                      -17.139629
               3.4832001                      -17.208455
               3.4834099                      -17.277852
               3.4836199                      -17.347828
                 3.48383                      -17.418392
                 3.48404                      -17.489553
               3.4842501                      -17.561322
               3.4844601                      -17.633708
               3.4846699                       -17.70672
                 3.48488                      -17.780369
                 3.48509                      -17.854664
               3.4853001                      -17.929616
               3.4855101                      -18.005238
               3.4857199                      -18.081536
                 3.48593                      -18.158527
                 3.48614                       -18.23622
               3.4863501                      -18.314627
               3.4865601                       -18.39376
               3.4867699                      -18.473631
                 3.48698                      -18.554253
                 3.48719                      -18.635641
               3.4874001                      -18.717807
               3.4876101                      -18.800765
               3.4878199                      -18.884528
                 3.48803                      -18.969113
                 3.48824                      -19.054534
               3.4884501                      -19.140805
               3.4886601                      -19.227943
               3.4888699                      -19.315964
                 3.48908                      -19.404886
                 3.48929                      -19.494724
                  3.4895                      -19.585495
               3.4897101                      -19.677221
               3.4899199                      -19.769917
               3.4901299                      -19.863603
                 3.49034                      -19.958297
                 3.49055                      -20.054023
               3.4907601                      -20.150798
               3.4909699                      -20.248647
               3.4911799                      -20.347589
                 3.49139                      -20.447648
                  3.4916                      -20.548846
               3.4918101                      -20.651207
               3.4920199                      -20.754758
               3.4922299                      -20.859523
                 3.49244                      -20.965527
                 3.49265                      -21.072799
               3.4928601                      -21.181367
               3.4930699                      -21.291255
               3.4932799                        -21.4025
                 3.49349                      -21.515125
                  3.4937                      -21.629167
               3.4939101                      -21.744656
               3.4941199                      -21.861624
               3.4943299                      -21.980106
                 3.49454                       -22.10014
                 3.49475                       -22.22176
               3.4949601                      -22.345004
               3.4951701                       -22.46991
               3.4953799                      -22.596519
                 3.49559                      -22.724871
                  3.4958                      -22.855012
               3.4960101                      -22.986981
               3.4962201                      -23.120824
               3.4964299                       -23.25659
                 3.49664                      -23.394322
                 3.49685                      -23.534075
               3.4970601                      -23.675895
               3.4972701                      -23.819834
               3.4974799                      -23.965947
                 3.49769                      -24.114288
                  3.4979                      -24.264911
               3.4981101                      -24.417874
               3.4983201                      -24.573237
               3.4985299                      -24.731057
                 3.49874                      -24.891397
                 3.49895                      -25.054316
               3.4991601                      -25.219878
               3.4993701                      -25.388143
               3.4995799                      -25.559179
                 3.49979                      -25.733044
                     3.5                      -25.909802
                 3.50021                      -26.089516
               3.5004201                      -26.272245
               3.5006299                      -26.458047
               3.5008399                      -26.646978
                 3.50105                       -26.83909
                 3.50126                       -27.03443
               3.5014701                      -27.233035
               3.5016799                      -27.434941
               3.5018899                       -27.64017
                  3.5021                      -27.848731
                 3.50231                      -28.060623
               3.5025201                      -28.275822
               3.5027299                      -28.494289
               3.5029399                      -28.715952
                 3.50315                      -28.940718
                 3.50336                      -29.168449
               3.5035701                      -29.398975
               3.5037799                      -29.632066
               3.5039899                      -29.867444
                  3.5042                      -30.104755
                 3.50441                      -30.343574
               3.5046201                      -30.583381
               3.5048299                       -30.82356
               3.5050399                      -31.063375
                 3.50525                      -31.301965
                 3.50546                      -31.538324
               3.5056701                      -31.771294
               3.5058801                       -31.99956
               3.5060899                      -32.221635
                  3.5063                      -32.435862
                 3.50651                      -32.640433
               3.5067201                      -32.833396
               3.5069301                      -33.012692
               3.5071399                      -33.176198
                 3.50735                      -33.321787
                 3.50756                      -33.447397
               3.5077701                      -33.551113
               3.5079801                      -33.631255
               3.5081899                      -33.686457
                  3.5084                      -33.715751
                 3.50861                      -33.718608
               3.5088201                      -33.694981
               3.5090301                        -33.6453
               3.5092399                      -33.570456
                 3.50945                      -33.471737
                 3.50966                      -33.350768
               3.5098701                      -33.209423
               3.5100801                      -33.049744
               3.5102899                      -32.873848
                  3.5105                      -32.683865
                 3.51071                      -32.481872
                 3.51092                      -32.269845
               3.5111301                       -32.04962
               3.5113399                      -31.822889
               3.5115499                      -31.591168
                 3.51176                      -31.355811
                 3.51197                      -31.118006
               3.5121801                      -30.878787
               3.5123899                      -30.639042
               3.5125999                      -30.399532
                 3.51281                      -30.160895
                 3.51302                      -29.923671
               3.5132301                      -29.688302
               3.5134399                      -29.455155
               3.5136499                      -29.224522
                 3.51386                      -28.996641
                 3.51407                      -28.771697
               3.5142801                      -28.549831
               3.5144899                      -28.331145
               3.5146999                      -28.115714
                 3.51491                      -27.903585
                 3.51512                      -27.694783
               3.5153301                      -27.489315
               3.5155399                      -27.287174
               3.5157499                      -27.088336
                 3.51596                      -26.892774
                 3.51617                      -26.700446
               3.5163801                      -26.511309
               3.5165901                      -26.325312
               3.5167999                      -26.142398
                 3.51701                      -25.962513
                 3.51722                      -25.785593
               3.5174301                      -25.611581
               3.5176401                       -25.44041
               3.5178499                      -25.272022
                 3.51806                      -25.106351
                 3.51827                      -24.943333
               3.5184801                      -24.782909
               3.5186901                      -24.625016
               3.5188999                      -24.469592
                 3.51911                      -24.316578
                 3.51932                      -24.165917
               3.5195301                      -24.017551
               3.5197401                      -23.871422
               3.5199499                      -23.727478
                 3.52016                      -23.585664
                 3.52037                      -23.445927
               3.5205801                      -23.308219
               3.5207901                      -23.172489
               3.5209999                       -23.03869
                 3.52121                      -22.906775
                 3.52142                      -22.776699
                 3.52163                      -22.648417
               3.5218401                      -22.521889
               3.5220499                      -22.397069
                 3.52226                      -22.273922
                 3.52247                      -22.152404
                 3.52268                      -22.032482
               3.5228901                      -21.914116
               3.5230999                      -21.797272
               3.5233099                      -21.681916
                 3.52352                      -21.568013
                 3.52373                       -21.45553
               3.5239401                      -21.344437
               3.5241499                      -21.234704
               3.5243599                      -21.126298
                 3.52457                      -21.019195
                 3.52478                      -20.913363
               3.5249901                      -20.808777
               3.5251999                      -20.705409
               3.5254099                      -20.603236
                 3.52562                      -20.502231
                 3.52583                      -20.402369
               3.5260401                      -20.303632
               3.5262499                       -20.20599
               3.5264599                      -20.109426
                 3.52667                      -20.013916
                 3.52688                      -19.919439
               3.5270901                      -19.825978
               3.5272999                      -19.733508
               3.5275099                      -19.642015
                 3.52772                      -19.551477
                 3.52793                      -19.461878
               3.5281401                      -19.373197
               3.5283501                       -19.28542
               3.5285599                       -19.19853
                 3.52877                       -19.11251
                 3.52898                      -19.027343
               3.5291901                      -18.943016
               3.5294001                      -18.859512
               3.5296099                      -18.776817
                 3.52982                      -18.694917
                 3.53003                      -18.613799
               3.5302401                      -18.533446
               3.5304501                      -18.453848
               3.5306599                       -18.37499
                 3.53087                      -18.296862
                 3.53108                      -18.219451
               3.5312901                      -18.142744
               3.5315001                      -18.066729
               3.5317099                      -17.991395
                 3.53192                       -17.91673
                 3.53213                      -17.842728
                 3.53234                      -17.769372
               3.5325501                      -17.696654
               3.5327599                      -17.624566
                 3.53297                      -17.553097
