        Frequency / GHz                Power Accepted/real
                   3.479                      0.49089851
                 3.47921                      0.49104653
                 3.47942                      0.49119338
                 3.47963                      0.49133904
                 3.47984                      0.49148351
                 3.48005                       0.4916268
                 3.48026                       0.4917689
                 3.48047                      0.49190981
                 3.48068                      0.49204952
                 3.48089                      0.49218804
                  3.4811                      0.49232536
                 3.48131                      0.49246148
                 3.48152                       0.4925964
                 3.48173                      0.49273011
                 3.48194                      0.49286262
                 3.48215                      0.49299392
                 3.48236                        0.493124
                 3.48257                      0.49325288
                 3.48278                      0.49338054
                 3.48299                      0.49350698
                  3.4832                       0.4936322
                 3.48341                      0.49375621
                 3.48362                      0.49387899
                 3.48383                      0.49400054
                 3.48404                      0.49412087
                 3.48425                      0.49423997
                 3.48446                      0.49435784
                 3.48467                      0.49447448
                 3.48488                      0.49458989
                 3.48509                      0.49470406
                  3.4853                      0.49481699
                 3.48551                      0.49492868
                 3.48572                      0.49503913
                 3.48593                      0.49514834
                 3.48614                       0.4952563
                 3.48635                      0.49536302
                 3.48656                      0.49546849
                 3.48677                      0.49557271
                 3.48698                      0.49567568
                 3.48719                       0.4957774
                  3.4874                      0.49587786
                 3.48761                      0.49597707
                 3.48782                      0.49607502
                 3.48803                      0.49617171
                 3.48824                      0.49626714
                 3.48845                      0.49636131
                 3.48866                      0.49645422
                 3.48887                      0.49654586
                 3.48908                      0.49663624
                 3.48929                      0.49672535
                  3.4895                      0.49681319
                 3.48971                      0.49689976
                 3.48992                      0.49698506
                 3.49013                      0.49706908
                 3.49034                      0.49715183
                 3.49055                      0.49723331
                 3.49076                      0.49731351
                 3.49097                      0.49739244
                 3.49118                      0.49747008
                 3.49139                      0.49754645
                  3.4916                      0.49762154
                 3.49181                      0.49769534
                 3.49202                      0.49776786
                 3.49223                       0.4978391
                 3.49244                      0.49790905
                 3.49265                      0.49797771
                 3.49286                      0.49804509
                 3.49307                      0.49811118
                 3.49328                      0.49817598
                 3.49349                      0.49823949
                  3.4937                      0.49830171
                 3.49391                      0.49836264
                 3.49412                      0.49842227
                 3.49433                      0.49848062
                 3.49454                      0.49853766
                 3.49475                      0.49859342
                 3.49496                      0.49864787
                 3.49517                      0.49870103
                 3.49538                       0.4987529
                 3.49559                      0.49880346
                  3.4958                      0.49885273
                 3.49601                       0.4989007
                 3.49622                      0.49894737
                 3.49643                      0.49899274
                 3.49664                       0.4990368
                 3.49685                      0.49907957
                 3.49706                      0.49912103
                 3.49727                      0.49916119
                 3.49748                      0.49920005
                 3.49769                       0.4992376
                  3.4979                      0.49927385
                 3.49811                       0.4993088
                 3.49832                      0.49934244
                 3.49853                      0.49937478
                 3.49874                      0.49940581
                 3.49895                      0.49943553
                 3.49916                      0.49946395
                 3.49937                      0.49949106
                 3.49958                      0.49951687
                 3.49979                      0.49954137
                     3.5                      0.49956456
                 3.50021                      0.49958645
                 3.50042                      0.49960703
                 3.50063                       0.4996263
                 3.50084                      0.49964426
                 3.50105                      0.49966091
                 3.50126                      0.49967626
                 3.50147                       0.4996903
                 3.50168                      0.49970303
                 3.50189                      0.49971446
                  3.5021                      0.49972458
                 3.50231                      0.49973339
                 3.50252                      0.49974089
                 3.50273                      0.49974708
                 3.50294                      0.49975197
                 3.50315                      0.49975555
                 3.50336                      0.49975783
                 3.50357                      0.49975879
                 3.50378                      0.49975845
                 3.50399                      0.49975681
                  3.5042                      0.49975385
                 3.50441                       0.4997496
                 3.50462                      0.49974403
                 3.50483                      0.49973717
                 3.50504                      0.49972899
                 3.50525                      0.49971952
                 3.50546                      0.49970874
                 3.50567                      0.49969665
                 3.50588                      0.49968327
                 3.50609                      0.49966858
                  3.5063                      0.49965259
                 3.50651                      0.49963529
                 3.50672                       0.4996167
                 3.50693                      0.49959681
                 3.50714                      0.49957561
                 3.50735                      0.49955312
                 3.50756                      0.49952933
                 3.50777                      0.49950424
                 3.50798                      0.49947785
                 3.50819                      0.49945017
                  3.5084                       0.4994212
                 3.50861                      0.49939092
                 3.50882                      0.49935936
                 3.50903                       0.4993265
                 3.50924                      0.49929234
                 3.50945                       0.4992569
                 3.50966                      0.49922017
                 3.50987                      0.49918214
                 3.51008                      0.49914283
                 3.51029                      0.49910223
                  3.5105                      0.49906034
                 3.51071                      0.49901717
                 3.51092                      0.49897271
                 3.51113                      0.49892697
                 3.51134                      0.49887994
                 3.51155                      0.49883163
                 3.51176                      0.49878205
                 3.51197                      0.49873118
                 3.51218                      0.49867903
                 3.51239                      0.49862561
                  3.5126                      0.49857091
                 3.51281                      0.49851494
                 3.51302                      0.49845769
                 3.51323                      0.49839917
                 3.51344                      0.49833938
                 3.51365                      0.49827832
                 3.51386                      0.49821599
                 3.51407                       0.4981524
                 3.51428                      0.49808754
                 3.51449                      0.49802141
                  3.5147                      0.49795402
                 3.51491                      0.49788537
                 3.51512                      0.49781546
                 3.51533                       0.4977443
                 3.51554                      0.49767187
                 3.51575                      0.49759819
                 3.51596                      0.49752325
                 3.51617                      0.49744707
                 3.51638                      0.49736963
                 3.51659                      0.49729094
                  3.5168                      0.49721101
                 3.51701                      0.49712983
                 3.51722                       0.4970474
                 3.51743                      0.49696374
